               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10071,            0.044788,            0.027466,             0.11616,             0.14634,             0.14059,            0.042287,            0.071748,            0.018448,            0.028517,              0.0712,              0.0032,              0.0032
                   1,            0.073814,            0.047042,            0.021081,             0.90297,             0.43902,             0.43678,             0.27372,            0.063266,            0.012444,            0.020849,            0.041457,           0.0064571,           0.0064571
                   2,            0.068811,            0.043446,            0.015754,             0.30326,             0.42683,             0.40223,             0.14482,            0.062116,            0.011344,             0.01716,            0.011671,           0.0096706,           0.0096706
                   3,            0.066467,            0.039356,            0.012816,             0.24933,             0.61664,             0.32767,             0.22768,            0.058452,            0.012027,            0.017943,            0.009802,            0.009802,            0.009802
                   4,            0.057439,            0.038444,            0.011455,             0.45688,              0.6429,             0.54178,             0.29938,            0.053104,            0.010667,            0.014209,            0.009802,            0.009802,            0.009802
                   5,            0.051824,            0.035711,            0.010154,             0.38192,             0.71113,             0.58697,             0.29952,            0.050756,           0.0099415,            0.010732,            0.009736,            0.009736,            0.009736
                   6,            0.048277,             0.03511,           0.0088087,             0.66178,             0.73139,             0.69915,             0.39218,            0.042264,             0.01059,            0.011143,             0.00967,             0.00967,             0.00967
                   7,            0.044929,            0.035599,           0.0086497,             0.66271,             0.70638,             0.66524,             0.38137,            0.046029,            0.010445,            0.012876,            0.009604,            0.009604,            0.009604
                   8,            0.043438,            0.033399,           0.0078847,             0.69843,             0.75766,             0.72651,             0.44734,            0.047874,           0.0093452,            0.011346,            0.009538,            0.009538,            0.009538
                   9,            0.041141,            0.032149,           0.0081722,             0.70599,             0.71232,              0.7264,              0.3945,             0.04163,           0.0093481,            0.012063,            0.009472,            0.009472,            0.009472
                  10,            0.040483,            0.032668,            0.007555,             0.78268,             0.69418,              0.7289,             0.41232,            0.043824,           0.0088826,           0.0091002,            0.009406,            0.009406,            0.009406
                  11,            0.039267,              0.0313,           0.0077105,             0.65677,             0.75707,             0.71712,             0.46424,             0.04002,           0.0093394,           0.0094918,             0.00934,             0.00934,             0.00934
                  12,            0.038855,            0.032269,           0.0073604,             0.79972,             0.79707,             0.80445,             0.54263,            0.037386,           0.0085023,           0.0099089,            0.009274,            0.009274,            0.009274
                  13,            0.038673,            0.030215,           0.0067994,             0.75524,              0.7377,             0.73593,             0.47376,            0.037651,           0.0098423,           0.0082263,            0.009208,            0.009208,            0.009208
                  14,            0.035852,            0.030446,           0.0068059,             0.76158,             0.74116,             0.73279,              0.3608,            0.041057,           0.0088928,           0.0076693,            0.009142,            0.009142,            0.009142
                  15,            0.034712,            0.030184,           0.0065684,             0.78831,             0.76986,             0.79268,             0.52222,            0.036782,           0.0095432,           0.0083718,            0.009076,            0.009076,            0.009076
                  16,            0.035178,            0.030857,           0.0064318,             0.62932,             0.75905,             0.77072,             0.54861,            0.038977,             0.00782,           0.0068601,             0.00901,             0.00901,             0.00901
                  17,            0.035303,            0.028698,            0.005875,             0.81081,             0.91088,             0.85828,             0.56548,            0.034201,           0.0079331,           0.0061636,            0.008944,            0.008944,            0.008944
                  18,            0.034382,             0.03008,           0.0062506,             0.82395,             0.82729,             0.81866,             0.50057,            0.039291,           0.0082104,            0.004398,            0.008878,            0.008878,            0.008878
