               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10071,            0.044788,            0.027466,             0.11616,             0.14634,             0.14059,            0.042287,            0.071748,            0.018448,            0.028517,              0.0712,              0.0032,              0.0032
                   1,            0.074041,            0.046876,            0.021067,             0.15501,              0.4238,            0.078975,            0.035606,            0.069068,            0.011704,            0.020026,            0.041479,           0.0064785,           0.0064785
                   2,              0.0696,            0.043307,            0.015723,             0.39636,             0.42683,             0.45457,             0.21672,            0.065847,            0.011233,            0.016713,            0.011735,           0.0097353,           0.0097353
                   3,            0.064593,            0.039637,            0.012791,             0.39249,             0.67182,             0.49998,             0.29304,            0.056677,            0.011516,            0.017578,            0.009901,            0.009901,            0.009901
                   4,            0.057917,            0.038432,            0.011387,             0.53166,             0.64228,             0.60179,             0.30246,            0.050816,            0.010559,             0.01314,            0.009901,            0.009901,            0.009901
                   5,            0.051824,            0.035687,            0.010156,             0.54995,             0.63005,             0.54421,             0.38232,            0.050912,            0.011427,            0.010885,            0.009868,            0.009868,            0.009868
                   6,            0.047472,            0.035188,           0.0088653,             0.42033,             0.70575,             0.47357,             0.23229,            0.049962,            0.011904,           0.0099507,            0.009835,            0.009835,            0.009835
                   7,            0.045411,            0.035514,           0.0085777,             0.67353,              0.7955,                 0.7,             0.41464,             0.04133,            0.010625,            0.011931,            0.009802,            0.009802,            0.009802
                   8,            0.044605,            0.033505,           0.0080265,             0.74939,             0.74422,             0.75195,             0.48387,            0.039809,            0.009045,            0.012697,            0.009769,            0.009769,            0.009769
                   9,            0.042405,            0.032493,           0.0082565,             0.77153,             0.73139,             0.74506,             0.45351,            0.038162,           0.0095993,            0.014004,            0.009736,            0.009736,            0.009736
                  10,            0.039621,            0.032766,           0.0077335,             0.70149,             0.72241,             0.71114,             0.44976,            0.044685,           0.0093553,           0.0070759,            0.009703,            0.009703,            0.009703
                  11,            0.038053,            0.031582,           0.0077022,             0.77977,             0.78268,               0.778,             0.43327,            0.041365,           0.0090087,            0.011571,             0.00967,             0.00967,             0.00967
                  12,            0.040115,            0.032305,           0.0072624,             0.77282,             0.76521,             0.76243,             0.54844,            0.042435,           0.0087232,           0.0091165,            0.009637,            0.009637,            0.009637
                  13,            0.039352,            0.030093,           0.0068006,             0.73884,             0.77738,             0.76453,             0.49653,            0.038056,           0.0088478,           0.0062933,            0.009604,            0.009604,            0.009604
                  14,            0.036781,            0.030324,           0.0066959,             0.72148,             0.75704,             0.72309,             0.41915,            0.047764,             0.00869,           0.0056803,            0.009571,            0.009571,            0.009571
                  15,            0.036213,            0.030157,           0.0065365,             0.82843,             0.67601,             0.79477,             0.53033,            0.036024,           0.0094357,           0.0066027,            0.009538,            0.009538,            0.009538
                  16,            0.034815,            0.030831,           0.0065979,             0.82804,             0.77043,             0.79434,             0.50045,            0.037409,           0.0080389,           0.0085009,            0.009505,            0.009505,            0.009505
                  17,            0.035404,            0.028982,           0.0060124,             0.82567,              0.8596,             0.83223,             0.55464,            0.036011,           0.0077971,           0.0093405,            0.009472,            0.009472,            0.009472
                  18,             0.03361,            0.029965,           0.0064484,             0.85823,              0.8596,             0.83652,             0.56485,            0.036894,            0.008136,           0.0040483,            0.009439,            0.009439,            0.009439
                  19,            0.033488,            0.029898,           0.0065953,             0.83062,              0.7955,             0.80273,              0.5567,            0.035609,           0.0082706,           0.0031222,            0.009406,            0.009406,            0.009406
                  20,             0.03419,            0.029266,           0.0062083,             0.80354,              0.9053,             0.85379,             0.53983,            0.037341,           0.0079009,           0.0035527,            0.009373,            0.009373,            0.009373
                  21,            0.033386,            0.027505,           0.0060996,             0.83663,             0.84678,             0.85009,             0.55453,            0.036264,            0.008409,           0.0062943,             0.00934,             0.00934,             0.00934
                  22,            0.032275,            0.028051,           0.0059051,              0.8559,             0.84678,             0.83748,             0.56769,            0.038507,           0.0083291,           0.0058264,            0.009307,            0.009307,            0.009307
                  23,            0.032147,            0.028911,           0.0060381,             0.83441,             0.89022,             0.84486,             0.56896,            0.035404,           0.0079881,            0.005198,            0.009274,            0.009274,            0.009274
                  24,            0.031754,            0.029184,           0.0060507,             0.82788,             0.83396,             0.83309,             0.52375,            0.041028,           0.0078906,           0.0038832,            0.009241,            0.009241,            0.009241
                  25,             0.03263,             0.02884,           0.0054378,              0.8353,             0.80832,             0.81072,             0.57177,            0.037961,           0.0079505,           0.0068255,            0.009208,            0.009208,            0.009208
                  26,            0.030772,            0.027593,           0.0053647,             0.86951,             0.79238,             0.80835,             0.55301,            0.038281,           0.0078437,           0.0093064,            0.009175,            0.009175,            0.009175
                  27,            0.030896,            0.028409,           0.0057164,             0.64996,              0.9237,             0.79702,             0.57927,            0.037358,           0.0078986,           0.0076849,            0.009142,            0.009142,            0.009142
                  28,            0.030792,            0.028348,           0.0056331,             0.87071,               0.839,             0.85593,             0.59037,            0.037328,           0.0070981,           0.0099193,            0.009109,            0.009109,            0.009109
                  29,            0.030103,             0.02723,           0.0059661,             0.86206,              0.8596,             0.86221,             0.56981,            0.037794,           0.0073699,            0.012577,            0.009076,            0.009076,            0.009076
                  30,            0.030318,            0.026764,           0.0054617,             0.86769,             0.84485,             0.85714,             0.59908,            0.036516,           0.0076686,            0.007725,            0.009043,            0.009043,            0.009043
                  31,            0.031362,            0.027279,           0.0055126,             0.80759,             0.88552,             0.83703,             0.60106,            0.033935,           0.0079757,           0.0043138,             0.00901,             0.00901,             0.00901
                  32,             0.03019,            0.026529,           0.0054498,             0.83342,             0.89806,             0.86348,             0.61538,            0.032776,           0.0078317,           0.0036713,            0.008977,            0.008977,            0.008977
                  33,            0.029718,            0.027215,           0.0054183,             0.86241,             0.86971,             0.88023,             0.59822,            0.035314,           0.0079395,               0.006,            0.008944,            0.008944,            0.008944
                  34,            0.029945,            0.025816,           0.0057519,             0.86221,             0.81619,             0.84001,             0.61927,            0.034551,           0.0079346,           0.0058971,            0.008911,            0.008911,            0.008911
                  35,            0.029943,             0.02681,           0.0053198,             0.86707,             0.87242,             0.87155,             0.62593,            0.035855,           0.0078619,           0.0031128,            0.008878,            0.008878,            0.008878
                  36,            0.028663,            0.026163,           0.0052751,             0.82165,             0.90796,             0.89283,             0.63763,            0.033163,           0.0081467,            0.002012,            0.008845,            0.008845,            0.008845
                  37,            0.029366,            0.026596,           0.0052268,             0.80514,             0.88524,             0.89643,             0.62495,            0.038201,           0.0072783,           0.0036208,            0.008812,            0.008812,            0.008812
                  38,            0.028246,            0.024455,           0.0052633,             0.83515,             0.88652,             0.90464,             0.63825,            0.035973,           0.0078979,           0.0058692,            0.008779,            0.008779,            0.008779
                  39,            0.028062,            0.025063,           0.0051912,             0.86425,             0.88524,             0.89926,             0.64339,             0.03335,           0.0079308,            0.003937,            0.008746,            0.008746,            0.008746
                  40,            0.027812,            0.026507,           0.0050095,             0.83314,             0.86807,             0.88644,             0.64464,            0.033989,            0.008475,           0.0036532,            0.008713,            0.008713,            0.008713
                  41,            0.028446,            0.026325,           0.0050558,             0.84441,             0.84678,             0.86224,             0.64508,            0.035713,           0.0079155,           0.0038764,             0.00868,             0.00868,             0.00868
                  42,            0.028114,            0.025649,           0.0051355,             0.80939,             0.87365,             0.89521,             0.64607,            0.034438,           0.0076934,           0.0027683,            0.008647,            0.008647,            0.008647
                  43,            0.027931,             0.02508,             0.00486,             0.84806,              0.8596,             0.86127,             0.62204,             0.03713,            0.007867,           0.0032515,            0.008614,            0.008614,            0.008614
                  44,             0.02754,            0.025447,           0.0053902,             0.85343,             0.87305,             0.88412,              0.6518,             0.03293,           0.0074999,           0.0021467,            0.008581,            0.008581,            0.008581
                  45,            0.026473,             0.02448,           0.0051617,               0.885,             0.83441,             0.88517,             0.66807,            0.033761,            0.007562,           0.0037244,            0.008548,            0.008548,            0.008548
                  46,            0.027794,            0.025709,           0.0049644,             0.79037,             0.84615,             0.85025,             0.63606,            0.033392,           0.0076561,           0.0023774,            0.008515,            0.008515,            0.008515
                  47,            0.027432,            0.025866,           0.0050486,             0.87573,             0.83457,             0.88186,             0.62871,            0.032531,           0.0074883,           0.0025111,            0.008482,            0.008482,            0.008482
                  48,            0.027942,            0.024888,           0.0047287,              0.8514,              0.8785,             0.89951,             0.64435,            0.034512,           0.0076535,           0.0038168,            0.008449,            0.008449,            0.008449
                  49,            0.027277,            0.025683,           0.0046496,              0.8874,             0.86045,             0.90589,             0.64044,            0.032635,           0.0075045,           0.0033827,            0.008416,            0.008416,            0.008416
                  50,            0.026251,            0.024187,           0.0048324,             0.83945,             0.89092,             0.89708,             0.64826,            0.036379,           0.0076176,           0.0062133,            0.008383,            0.008383,            0.008383
                  51,            0.027306,            0.024269,           0.0048834,             0.85265,             0.90097,             0.91328,              0.6407,            0.036763,           0.0076433,           0.0065948,             0.00835,             0.00835,             0.00835
                  52,            0.026405,            0.024696,           0.0047574,              0.8578,             0.83521,             0.90314,             0.65469,            0.035344,           0.0075313,           0.0083978,            0.008317,            0.008317,            0.008317
                  53,             0.02494,            0.023052,           0.0047406,              0.9188,             0.87962,             0.90531,             0.66318,            0.029702,           0.0074738,           0.0076748,            0.008284,            0.008284,            0.008284
                  54,            0.025801,             0.02317,           0.0044223,             0.90254,             0.87007,             0.89744,             0.64577,             0.03221,           0.0076627,           0.0036354,            0.008251,            0.008251,            0.008251
                  55,            0.025263,            0.024342,            0.004817,              0.8911,             0.86983,             0.90492,             0.63561,            0.033059,           0.0074763,           0.0037083,            0.008218,            0.008218,            0.008218
                  56,            0.026163,            0.023877,           0.0048812,             0.87695,             0.88484,             0.88895,             0.64932,            0.033691,            0.007516,            0.005674,            0.008185,            0.008185,            0.008185
                  57,            0.026285,            0.024605,           0.0046533,             0.83117,             0.88213,             0.89504,             0.64985,            0.033174,           0.0070792,           0.0040449,            0.008152,            0.008152,            0.008152
                  58,            0.025868,            0.024059,           0.0048057,             0.84865,             0.87305,             0.88156,             0.65153,            0.034609,            0.007263,           0.0012789,            0.008119,            0.008119,            0.008119
                  59,            0.026644,            0.023685,           0.0046773,             0.85844,             0.87305,             0.90282,             0.66329,            0.030291,           0.0076463,           0.0029941,            0.008086,            0.008086,            0.008086
                  60,            0.025541,            0.024597,           0.0044421,             0.79203,             0.89563,             0.89795,             0.65186,            0.032954,            0.007543,           0.0019088,            0.008053,            0.008053,            0.008053
                  61,            0.025493,            0.023091,           0.0044174,             0.84943,             0.89806,              0.8933,             0.64753,             0.03413,           0.0071308,           0.0033031,             0.00802,             0.00802,             0.00802
                  62,            0.025528,             0.02266,           0.0044856,             0.85214,             0.95146,             0.94003,             0.68551,            0.032301,           0.0070415,           0.0041587,            0.007987,            0.007987,            0.007987
                  63,            0.025561,            0.024031,           0.0044817,             0.86714,             0.88957,              0.9165,             0.66916,            0.031698,           0.0073436,           0.0038904,            0.007954,            0.007954,            0.007954
                  64,            0.025045,            0.023814,           0.0048528,             0.83354,              0.9237,             0.91984,             0.65801,            0.035103,           0.0077358,           0.0043623,            0.007921,            0.007921,            0.007921
                  65,            0.024921,            0.022526,            0.004179,             0.83028,             0.91026,             0.90339,             0.64323,             0.03497,           0.0079849,           0.0038841,            0.007888,            0.007888,            0.007888
